id;uuid;status;label;masked_pan;card_holder_name;token;expiry_year;expiry_month;rnd;hash;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;da21ad3b-c15b-4502-81e4-84269bf2391c;DELETED;incliner;même si;résigner puis;hors;pu;mo;flotter;propre;494e471f-adac-439d-971b-bc15379c7027;gagner délégation;2024-10-15T21:19:57;suffisamment afin que;2024-10-16T01:44:12
2;473414be-e5dd-4960-81df-35aaa25e614a;ACTIVE;marron;plic ronron;vroum grâce à;personnel parce que loin de;de;cu;peser assez sans que;vlan;73efa4bf-b78d-4b95-aa6b-1d329dfc5c6c;au point que responsable rudement;2024-10-16T03:40:17;spécialiste euh au-dedans de;2024-10-16T02:10:58
3;3ee16be6-ebab-40aa-95d9-5094e0c29e1f;ACTIVE;quoique collègue;modifier;agréable écouter actionnaire;avant à peine désormais;ju;sa;alentour;chef de cuisine;71fce327-5c68-4823-a9c5-80d156c49848;à condition que remercier;2024-10-15T16:19:51;pendant que;2024-10-16T10:06:59
4;f22b5896-eff0-47fe-93f8-8829c4dff21b;BLOCKED;limiter;blême;engloutir à condition que;y;ra;to;danser opposer;gratis;0fffcc83-6c6e-4518-bdfa-828991486d66;rapporter membre de l’équipe affable;2024-10-15T16:05:22;sombre au-dehors partenaire;2024-10-15T22:16:45
5;66796e45-7356-4527-9998-cf718f6b85f5;DELETED;de manière à à l'insu de;touriste gravir;magnifique;sans que au-dessous de;do;ge;certes recouvrir;drelin équipe de recherche;4adb6109-4823-4716-971d-2e8e1b43de17;ici triste baiser;2024-10-16T05:01:23;réjouir jamais;2024-10-16T00:15:59
6;46648def-aebe-4ec6-bdc6-2479670fb731;PENDING;retourner en outre de;toc toc hi;smack plic;concurrence échanger;d’;ch;innombrable ouf inno;sauf présidence;7c4a1fd2-3f0e-424a-b400-4aa3ab323c31;à l'instar de;2024-10-16T10:18:34;tsoin-tsoin administration;2024-10-15T20:48:36
7;dba2e3dc-20f0-4850-90ae-b05c8c03e912;PENDING;sauvage;en faveur de;biathlète probablement;à l'entour de assez;ar;de;triathlète adresser;lorsque;7178bcdb-319c-430a-ad1b-095eb6d924bc;diviser;2024-10-15T14:19:13;assurément commis de cuisine pendant que;2024-10-16T06:40:46
8;96e54bcf-61d9-4091-a13c-d919d27fec8e;BLOCKED;miam de sorte que;au point que retenir;au-dessous de sage;adorable membre de l’équipe;fr;vi;triathlète vraiment ;renier;b76c6687-ee9e-44e7-8b49-522e2f2e7dd1;partenaire orange;2024-10-16T06:18:52;à l'entour de là-haut triompher;2024-10-16T09:23:23
9;a763ba5e-ac33-4f66-9863-fea33dc63bfb;BLOCKED;que terriblement;équilibrer planquer conseil mu;ah efficace attirer;absolument;pr;af;pouvoir quoique;sans que de sorte que;ee2f5652-d2be-4b96-a9fe-fa9e85d86e7e;imaginer assez;2024-10-16T09:15:20;pas mal proche de commis;2024-10-16T04:57:03
10;3c42b328-1336-4f73-8f5a-fc47ccb8add9;ACTIVE;envers avouer sous;en dehors de;tant à partir de;à raison de;co;to;d’autant que;de crainte que bien que perplexe;12f59b33-966e-4828-968b-bab391f46496;près avant que lectorat;2024-10-16T02:55:35;ouin prestataire de services coac coac;2024-10-16T03:22:41
