id;uuid;jhi_user;code;status;expiry;created_date
1;6826fdd5-823c-4614-9b80-ae5b190a78f5;parce que géométrique prétendre;ha ha concer;EXPIRED;2024-10-16T10:07:59;2024-10-16T02:10:03
2;524a6595-f899-4ec1-b404-a459bb77a78e;blablabla;du moment qu;VALID;2024-10-16T02:16:14;2024-10-15T22:44:00
3;8f1743c9-08f6-4d5f-91a1-840677a301a9;masquer par rapport à de manière à ce que;oh à seule f;PENDING;2024-10-16T04:12:32;2024-10-16T02:09:30
4;b246f0ae-3321-4fda-ba52-03871f74502a;en;direction;PENDING;2024-10-15T19:49:35;2024-10-16T08:10:48
5;1040b3cc-ebd1-449f-8894-da55e1b6d1b1;clac cependant puis;environ fréq;REJECTED;2024-10-15T16:47:18;2024-10-15T18:43:49
6;7e07ebeb-8813-4f0b-accc-cb5a486c005f;placide;communauté é;VALID;2024-10-15T18:06:31;2024-10-15T18:38:33
7;16953eed-f8dc-46f3-aa28-db75434c4cab;afin que pis;prout de man;EXPIRED;2024-10-16T12:04:18;2024-10-15T15:30:06
8;5c85dd3f-2cea-41d9-8aa0-bba9f78fd302;séculaire sitôt que;à force de a;REJECTED;2024-10-15T13:42:20;2024-10-16T09:29:28
9;04791570-5714-4fe0-81b5-b1e62370e123;devant foncer;euh actionna;REJECTED;2024-10-15T23:14:18;2024-10-15T13:49:59
10;f9d5c6e8-5862-45f3-9949-5ca19f03a4c1;certes concernant;égoïste;REJECTED;2024-10-15T20:27:39;2024-10-15T20:50:58
