id;uuid;type;status;level;iban;currency;balance;balances_as_of;external_id;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;a0d3f939-46a6-43da-a489-4c3813d9ff0b;SAVINGS;ACTIVE;TWO;AE076649870072050074224;aut;13010.58;2024-10-15T14:11:08;vers;d335cb41-29d2-4a88-adfd-891ffa241da9;de manière à efficace meuh;2024-10-15T16:49:28;sans que;2024-10-16T10:10:33
2;c4f7cc13-ca7e-4faa-ab3d-a73cfcfba43a;SECONDARY;BLOCKED;ONE;BH88MNUQ15265R75953995;de ;13292.22;2024-10-15T19:30:19;contre;2272d490-1e5a-4e4b-9101-08e734e60283;vraisemblablement;2024-10-15T21:05:26;fade;2024-10-15T20:04:01
3;2bfa1c59-06cc-4811-8f8b-05c215d7a29b;SAVINGS;PENDING;ONE;NO6790711501056;bie;14872.78;2024-10-16T13:37:56;du fait que;b3c5adde-c5b6-4963-8e2c-7ef64950f9ba;responsable;2024-10-15T15:01:54;de par;2024-10-15T18:27:21
4;7e6a6daa-723c-437d-a7c8-86880e714cd9;SAVINGS;ACTIVE;THREE;SM53R6006501425402Q3748H7Y8;non;6575.77;2024-10-16T05:21:14;spécialiste quelque;b3b44fdc-43e0-431f-977e-bc8977b287d6;triangulaire;2024-10-15T17:33:05;insipide bè blablabla;2024-10-16T01:22:40
5;b15ba148-9880-4370-9265-fb9852b650b9;PRIMARY;REJECTED;ONE;FO6560951822003748;oup;15047.59;2024-10-16T02:19:54;séculaire;54cbe03b-11f4-45c2-a31a-740b5102053c;de façon à ce que rectorat;2024-10-15T13:54:34;prout;2024-10-16T05:10:47
6;fc57d85a-218e-43d8-9889-609152e683eb;SECONDARY;REJECTED;ONE;SM50M20490758814R484F12O378;inf;32158.85;2024-10-16T08:35:48;sans;1d4798ec-c501-4e16-986a-58b3b6f28164;foule;2024-10-15T20:23:43;altruiste derrière;2024-10-15T18:48:21
7;6b3ccbb8-5d9a-4488-924e-bd1b16469748;SECONDARY;ACTIVE;TWO;FR64006118002255619X7472357;lor;11687.68;2024-10-15T14:28:39;cuicui boire;fa077186-2cab-4cb2-9368-1eafa6e4294a;du fait que arrière;2024-10-16T07:00:03;pauvre timide en;2024-10-15T16:56:21
8;7166cc60-a783-49ac-bc03-9e3459ea0dbb;SECONDARY;BLOCKED;THREE;IS087100648659700707418764;ded;4941.26;2024-10-15T23:10:32;simple;069a28ce-4015-4935-a9aa-6ed57eae6f3c;minuscule à demi;2024-10-15T20:40:23;consommer;2024-10-16T02:42:54
9;9269d499-743e-43ee-8345-015c362910eb;SECONDARY;BLOCKED;THREE;LI5502009568099643K8K;mem;6857.44;2024-10-16T03:58:13;promettre;f0e92a69-eda0-49b5-8b48-55499ae82178;zzzz;2024-10-15T15:47:13;hôte d’autant que quant à;2024-10-16T03:15:03
10;95a3dafb-0e1d-42e6-be5f-a0ab82de1589;SECONDARY;BLOCKED;THREE;PL40001200266177570070208004;rac;19163.45;2024-10-16T03:29:19;si bien que cyan atchoum;564c9ff5-29a4-4428-ab58-9f187540818e;élaborer;2024-10-15T19:39:21;sauvage blablabla d'entre;2024-10-16T12:11:48
