id;uuid;type;status;phone_number;network;tag;first_name;last_name;address;city;country;postal_code;onboarding;external_id;email;date_of_birth;sex;created_by;created_date;last_modified_by;last_modified_date;login_status
1;1a3ad973-62d5-4dd5-8f78-c7d7fffa63c7;CUSTOMER;BLOCKED;pschitt miaou;IAM;afin que souffler au cas où;Agapet;Huet;désirer de sorte que efficace;Villeneuve-d'Ascq;Nigeria;noter consulter comment;PERSONAL_INFO;sage jeune;Oriane73@hotmail.fr;2024-10-15;F;à l'exception de;2024-10-16T09:36:13;antagoniste;2024-10-16T10:32:35;LOGIN_LOCKED_FULL
2;06f0b3de-5461-40e1-907b-6bdde5359398;MERCHANT;ACTIVE;du moment que;ORANGE;quelque;Sarah;Petit;ha ha;Angers;Thaïlande;de manière à ce que adepte oublier;ACTIVATE_CUSTOMER_PARTNER_SIDE;tchou tchouu;Eudoxe.Gonzalez@gmail.com;2024-10-15;F;aux alentours de infiniment ouch;2024-10-16T03:58:54;vlan;2024-10-16T07:41:21;LOGIN_UNLOCKED
3;2b6a5cb6-32e3-45a1-9e60-a8e14c847c55;MERCHANT;PENDING;absolument avex animer;ORANGE;marron considérable;Gaël;Nguyen;flatter;Montpellier;République dominicaine;trop au dépens de;CREATE_EXTERNAL_WALLET;là-haut vlan;Francois.Berger0@yahoo.fr;2024-10-15;F;aussi;2024-10-16T03:19:25;au point que;2024-10-15T18:07:02;DEVICE_FLAGGED
4;0ac4134f-bcf0-48a4-b70f-d53f2d4f26b6;CUSTOMER;BLOCKED;quelque membre de l’équipe;ORANGE;accentuer;Fulbert;Blanchard;bzzz blême chez;Chambéry;Allemagne;précisément;SET_PASSWORD;dring;Laureline_Denis@gmail.com;2024-10-16;F;d’autant que ding;2024-10-16T09:21:46;fidèle;2024-10-15T18:22:54;LOGIN_LOCKED_FULL
5;c309034a-7abe-49be-916a-bfa628061fcc;AGENT;CLOSED;apparemment marron;IAM;signer enfin balayer;Eulalie;Andre;absolument réjouir;Levallois-Perret;Malawi;main-d’œuvre;PENDING;pis approximativement triangulaire;Guy_Renault44@hotmail.fr;2024-10-16;M;depuis baisser;2024-10-16T00:00:47;turquoise derrière repousser;2024-10-16T01:38:20;DEVICE_FLAGGED
6;f93f295c-0535-4c2b-a361-13a037f43ea4;AGENT;PENDING;marron tic-tac réconcilier;OTHER;habituer;Marceau;Vincent;main-d’œuvre de manière à;Noisy-le-Grand;Portugal;snob même si;PENDING;antique dedans;Celestine11@yahoo.fr;2024-10-16;F;alors que;2024-10-15T21:17:46;orange svelte adepte;2024-10-16T06:17:12;LOGIN_LOCKED_FULL
7;f36c485e-836a-4637-9de4-8317cb74ea4f;AGENT;CLOSED;atchoum vite infime;ORANGE;direction du moment que;France;Baron;conseil d’administration chut jeune enfant;Amiens;Ouganda;hors de parlementaire à condition que;SET_PASSWORD;aussi athlète;Catherine.Boyer4@hotmail.fr;2024-10-15;F;de peur de propre de peur que;2024-10-16T05:14:18;jeune enfant;2024-10-16T09:51:26;LOGIN_LOCKED_FULL
8;83aa85f9-6ddc-464d-865f-5d12036f7f0d;MERCHANT;PENDING;adversaire émérite;OTHER;tôt mêler placide;Audebert;Noel;si outre;Tours;Kirghizistan;timide;CONFIRM_OTP;gratis;Anicee.Garcia@hotmail.fr;2024-10-15;M;beaucoup drelin;2024-10-16T06:04:59;oups extatique;2024-10-16T13:33:18;LOGIN_DEVICE_LOCKED
9;67b18084-7fb8-4d78-8eaf-26cffb671c1a;AGENT;CLOSED;longtemps;OTHER;raide via hebdomadaire;Almire;Carpentier;toc-toc tandis que auprès de;Besançon;Biélorussie;bzzz;ACTIVATE_CUSTOMER_PARTNER_SIDE;en dépit de;Alexis_Morel83@yahoo.fr;2024-10-15;F;fonctionnaire antagoniste à côté de;2024-10-16T02:34:08;bang ha ha;2024-10-16T01:46:48;LOGIN_LOCKED_FULL
10;52d3e79d-3bd7-4594-be90-01715b85b145;INTERNAL;BLOCKED;sans doute abaisser avant;ORANGE;pendant que introduire;Brice;Denis;en outre de exagérer jusque;Toulouse;Suède;agréable avex;CONFIRM_OTP;corps enseignant vide;Tristan56@gmail.com;2024-10-15;M;pin-pon tellement isoler;2024-10-16T12:39:53;hirsute de façon à;2024-10-16T03:28:49;LOGIN_UNLOCKED
